Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.00537,True,16.99463
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.000846,True,16.999154
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.000496,True,16.999504
Task-2_2,Task-2,30,38.001046,True,31.998953999999998
Task-1_4,Task-1,40,44.00049,True,16.99951
Task-3_2,Task-3,40.00049,53,True,53
Task-1_5,Task-1,53,57.000446,True,16.999554000000003
Task-2_3,Task-2,53.000446,64.00092699999999,True,28.99907300000001
Task-1_6,Task-1,66,70.000417,True,16.999583
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.000535,True,16.999465
Task-2_4,Task-2,76,90.001008,True,25.998992
Task-1_8,Task-1,92,96.000483,True,16.999516999999997
Task-3_4,Task-3,98,107.00042,True,56.999579999999995
Task-1_9,Task-1,105,111.00106000000001,True,14.99893999999999
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000451,True,32.999549
Task-3_5,Task-3,127,138.00087299999998,True,54.999127000000016
Task-1_11,Task-1,131,142.00130399999998,True,9.998696000000024
Task-1_12,Task-1,144,148.000452,True,16.999548000000004
Task-2_7,Task-2,145,155.000848,True,29.99915200000001
Task-3_6,Task-3,156,165.000468,True,56.99953199999999
Task-1_13,Task-1,157,169.000897,True,8.999102999999991
Task-2_8,Task-2,168,176.00137700000002,True,31.99862299999998
Task-1_14,Task-1,170,180.00190500000002,True,10.998094999999978
Task-1_15,Task-1,183,187.000475,True,16.999525000000006
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.000503,True,16.99949699999999
Task-2_9,Task-2,191,207.000887,True,23.999112999999994
Task-1_17,Task-1,209,213.000413,True,16.99958699999999
Task-2_10,Task-2,214,221.000409,True,32.99959100000001
Task-3_8,Task-3,214.000409,230.00080699999998,True,49.99919300000002
Task-1_18,Task-1,222,234.00128999999998,True,8.998710000000017
Task-1_19,Task-1,235,239.000432,True,16.99956800000001
Task-2_11,Task-2,237,246.00084099999998,True,30.99915900000002
Task-3_9,Task-3,243,255.00122299999998,True,53.99877700000002
Task-1_20,Task-1,248,259.001618,True,9.998381999999992
Task-2_12,Task-2,260,267.000428,True,32.999572
Task-1_21,Task-1,261,271.000859,True,10.999141000000009
Task-3_10,Task-3,272,281.000455,True,56.99954500000001
Task-1_22,Task-1,274,285.001126,True,9.998874
Task-2_13,Task-2,283,292.001512,True,30.99848800000001
Task-1_23,Task-1,287,296.001937,True,11.998063000000002
Task-1_24,Task-1,300,304.000423,True,16.999576999999988
Task-3_11,Task-3,301,313,True,54
Task-1_25,Task-1,313,317.00053,True,16.999469999999974
Task-2_14,Task-2,306,324.000922,True,21.999077999999997
Task-1_26,Task-1,326,330,True,17
Task-2_15,Task-2,329,337.000521,True,31.999479000000008
Task-3_12,Task-3,330,346.00094,True,49.999059999999986
Task-1_27,Task-1,339,350.00134,True,9.998659999999973
Task-1_28,Task-1,352,356.000453,True,16.999547000000007
Task-2_16,Task-2,352.000453,363.000833,True,28.999167
Task-3_13,Task-3,359,372.001221,True,52.99877900000001
Task-1_29,Task-1,365,376.00162,True,9.998379999999997
Task-2_17,Task-2,375,383.002002,True,31.997997999999995
Task-1_30,Task-1,378,387.002413,True,11.99758700000001
Task-3_14,Task-3,388,397.00116,True,56.99883999999997
Task-1_31,Task-1,391,401.001746,True,10.998253999999974
Task-2_18,Task-2,398,408.00219500000003,True,29.99780499999997
Task-1_32,Task-1,404,412.00263600000005,True,12.997363999999948
Task-1_33,Task-1,417,421,True,17
Task-2_19,Task-2,421,428.000549,True,32.99945100000002
Task-3_15,Task-3,417.000455,437.00093999999996,True,45.99906000000004
Task-1_34,Task-1,430,441.00139299999995,True,9.99860700000005
Task-1_35,Task-1,443,447.00043,True,16.999570000000006
Task-2_20,Task-2,444,454.000954,True,29.99904600000002
Task-3_16,Task-3,446,463.00136899999995,True,48.998631000000046
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000629,True,32.999371
Task-1_37,Task-1,469,478.00111,True,11.998890000000017
Task-3_17,Task-3,475,487.001574,True,53.998425999999995
Task-1_38,Task-1,482,491.001993,True,11.998006999999973
Task-2_22,Task-2,490,498.00245600000005,True,31.997543999999948
Task-1_39,Task-1,495,502.00290200000006,True,13.997097999999937
Task-3_18,Task-3,504,513,True,57
Task-1_40,Task-1,508,517.000571,True,11.999428999999964
Task-2_23,Task-2,513,524.000976,True,28.999023999999963
Task-1_41,Task-1,521,528.001398,True,13.998602000000005
Task-3_19,Task-3,533,542.000427,True,56.999573000000055
Task-1_42,Task-1,534,546.001498,True,8.99850200000003
Task-2_24,Task-2,536,553.002082,True,22.997918000000027
Task-1_43,Task-1,547,557.0029529999999,True,10.997047000000066
Task-2_25,Task-2,559,566.00133,True,32.99866999999995
Task-1_44,Task-1,560,570.002776,True,10.99722399999996
Task-3_20,Task-3,562,579.003515,True,48.99648500000001
Task-1_45,Task-1,573,583.0039869999999,True,10.996013000000062
Task-2_26,Task-2,582,590.0044449999999,True,31.99555500000008
Task-1_46,Task-1,586,594.0050249999999,True,12.994975000000068
Task-3_21,Task-3,591,603.0054849999999,True,53.99451500000009
Task-1_47,Task-1,599,607.0063859999999,True,12.993614000000093
Task-2_27,Task-2,605,614.0067889999999,True,30.993211000000088
Task-1_48,Task-1,612,618.0072099999999,True,14.992790000000127
Task-3_22,Task-3,620,629.000483,True,56.99951699999997
Task-1_49,Task-1,625,633.000984,True,12.999015999999983
Task-2_28,Task-2,628,640.001389,True,27.998610999999983
Task-1_50,Task-1,638,644.005381,True,14.994618999999943
Task-3_23,Task-3,649,658.000784,True,56.99921600000005
Task-1_51,Task-1,651,662.0016089999999,True,9.998391000000083
Task-2_29,Task-2,651,669.0021529999999,True,21.997847000000093
Task-1_52,Task-1,664,673.0030849999999,True,11.996915000000058
Task-2_30,Task-2,674,681.000843,True,32.99915699999997
Task-1_53,Task-1,677,685.00174,True,12.99825999999996
Task-3_24,Task-3,678,694.002436,True,49.99756400000001
Task-1_54,Task-1,690,698.002975,True,12.997025000000008
Task-2_31,Task-2,697,705.003487,True,31.99651300000005
Task-1_55,Task-1,703,709.004432,True,14.995568000000048
Task-3_25,Task-3,707,718.005272,True,54.99472800000001
Task-1_56,Task-1,716,722.005889,True,14.994110999999975
Task-2_32,Task-2,720,729,True,31
Task-1_57,Task-1,729,733.000776,True,16.999224000000027
Task-3_26,Task-3,736,745.000644,True,56.999356000000034
Task-1_58,Task-1,742,749.0014239999999,True,13.998576000000071
Task-2_33,Task-2,743,756.002677,True,26.99732300000005
Task-1_59,Task-1,755,760.0037799999999,True,15.996220000000108
Task-3_27,Task-3,765,774.000679,True,56.99932100000001
Task-1_60,Task-1,768,778.001175,True,10.99882500000001
Task-2_34,Task-2,766,785.00159,True,20.998410000000035
Task-1_61,Task-1,781,789,True,13
Task-2_35,Task-2,789,796.000461,True,32.99953900000003
Task-1_62,Task-1,794,800.001121,True,14.998878999999988
Task-3_28,Task-3,794,809.001539,True,50.99846100000002
Task-1_63,Task-1,807,813.001972,True,14.998027999999977
Task-2_36,Task-2,812,820,True,32
Task-1_64,Task-1,820,824.000475,True,16.99952499999995
Task-3_29,Task-3,823,833,True,56
Task-1_65,Task-1,833,837.000425,True,16.99957500000005
Task-2_37,Task-2,835,844.000822,True,30.99917800000003
Task-1_66,Task-1,846,850.000641,True,16.999359000000027
Task-3_30,Task-3,852,861.003129,True,56.996871000000056
Task-1_67,Task-1,859,865.0039039999999,True,14.99609600000008
Task-2_38,Task-2,858,872,True,26
Task-1_68,Task-1,872,876.000438,True,16.99956199999997
Task-2_39,Task-2,881,888.000524,True,32.99947599999996
Task-1_69,Task-1,885,892.001171,True,13.998829
Task-3_31,Task-3,881.000524,901.001607,True,45.998392999999965
Task-1_70,Task-1,898,905.002066,True,13.997933999999987
Task-2_40,Task-2,904,912.0024980000001,True,31.99750199999994
Task-1_71,Task-1,911,916.0030710000001,True,15.99692899999991
Task-3_32,Task-3,910,925.0036880000001,True,50.996311999999875
Task-1_72,Task-1,924,929.0042090000002,True,15.995790999999826
Task-2_41,Task-2,927,936.0047260000001,True,30.99527399999988
Task-1_73,Task-1,937,941.000452,True,16.999548000000004
Task-3_33,Task-3,939,950,True,55
Task-1_74,Task-1,950,954.000453,True,16.999547000000007
Task-2_42,Task-2,950.000453,961.000864,True,28.99913600000002
Task-1_75,Task-1,963,967.00105,True,16.998950000000036
Task-3_34,Task-3,968,977.00041,True,56.99959000000001
Task-1_76,Task-1,976,981.001431,True,15.998568999999975
Task-2_43,Task-2,973,988.001827,True,24.99817299999995
Task-1_77,Task-1,989,993.000739,True,16.999261000000047
Task-2_44,Task-2,996,1003.000502,True,32.99949800000002
Task-1_78,Task-1,1002,1007.000996,True,15.999004000000014
Task-3_35,Task-3,997,1016.002384,True,46.997615999999994
Task-1_79,Task-1,1015,1020.003025,True,15.99697500000002
Task-2_45,Task-2,1019,1027.0035229999999,True,31.99647700000014
Task-3_36,Task-3,1026,1036.0040419999998,True,55.9959580000002
Task-1_80,Task-1,1028,1040.0045639999998,True,8.995436000000154
Task-1_81,Task-1,1041,1045.000418,True,16.99958199999992
Task-2_46,Task-2,1042,1052.000923,True,29.999076999999943
Task-1_82,Task-1,1054,1058.000435,True,16.999565000000075
Task-3_37,Task-3,1055,1067,True,54
Task-1_83,Task-1,1067,1071.000535,True,16.9994650000001
Task-2_47,Task-2,1065,1078.0012399999998,True,26.998760000000175
Task-1_84,Task-1,1080,1084,True,17
Task-3_38,Task-3,1084,1093,True,57
Task-1_85,Task-1,1093,1097.000521,True,16.999479000000065
Task-2_48,Task-2,1088,1104.0009679999998,True,23.99903200000017
Task-1_86,Task-1,1106,1110.000407,True,16.999593000000004
Task-2_49,Task-2,1111,1118.000717,True,32.999283000000105
Task-3_39,Task-3,1113,1127.001221,True,51.99877900000001
Task-1_87,Task-1,1119,1131.0018949999999,True,8.998105000000123
Task-1_88,Task-1,1132,1136.000421,True,16.99957900000004
Task-2_50,Task-2,1134,1143.000989,True,30.99901100000011
Task-3_40,Task-3,1142,1152.0018739999998,True,55.998126000000184
Task-1_89,Task-1,1145,1156.0077129999997,True,9.99228700000026
Task-2_51,Task-2,1157,1164.000669,True,32.999330999999984
Task-1_90,Task-1,1158,1168.001295,True,10.998704999999973
Task-1_91,Task-1,1171,1175.000693,True,16.999307000000044
Task-3_41,Task-3,1171.000693,1184,True,53
Task-1_92,Task-1,1184,1188.000909,True,16.999090999999908
Task-2_52,Task-2,1180,1195.0015230000001,True,24.998476999999866
Task-1_93,Task-1,1197,1201.000509,True,16.999491000000035
Task-3_42,Task-3,1200,1210,True,56
Task-1_94,Task-1,1210,1214.000526,True,16.999473999999964
Task-2_53,Task-2,1203,1221.001216,True,21.998783999999887
Task-1_95,Task-1,1223,1227.000555,True,16.999444999999923
Task-2_54,Task-2,1226,1234.00099,True,31.99901
Task-3_43,Task-3,1229,1243.001389,True,51.99861099999998
Task-1_96,Task-1,1236,1247.0018400000001,True,9.99815999999987
Task-1_97,Task-1,1249,1253.000525,True,16.999475000000075
Task-2_55,Task-2,1249.000525,1260.0011769999999,True,28.99882300000013
Task-3_44,Task-3,1258,1269.001994,True,54.99800600000003
Task-1_98,Task-1,1262,1273.002881,True,9.997119000000112
Task-2_56,Task-2,1272,1280.0035919999998,True,31.9964080000002
Task-1_99,Task-1,1275,1284.0043629999998,True,11.995637000000215
