Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.0052579999999995,True,16.994742000000002
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.000639,True,16.999361
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.000455,True,16.999545
Task-2_2,Task-2,30,38.001123,True,31.998877
Task-1_4,Task-1,40,44.000517,True,16.999482999999998
Task-3_2,Task-3,40.000517,53,True,53
Task-1_5,Task-1,53,57.000437,True,16.999563000000002
Task-2_3,Task-2,53.000437,64.000833,True,28.999167
Task-1_6,Task-1,66,70.000483,True,16.999516999999997
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.000596,True,16.999404
Task-2_4,Task-2,76,90.001031,True,25.998969000000002
Task-1_8,Task-1,92,96.000495,True,16.999505
Task-3_4,Task-3,98,107.00043,True,56.999570000000006
Task-1_9,Task-1,105,111.00095999999999,True,14.999040000000008
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000406,True,32.999594
Task-3_5,Task-3,127,138.000795,True,54.99920499999999
Task-1_11,Task-1,131,142.001167,True,9.99883299999999
Task-1_12,Task-1,144,148.000514,True,16.99948599999999
Task-2_7,Task-2,145,155.00276300000002,True,29.997236999999984
Task-3_6,Task-3,156,165.000387,True,56.99961300000001
Task-1_13,Task-1,157,169.000834,True,8.999166000000002
Task-2_8,Task-2,168,176.001338,True,31.998661999999996
Task-1_14,Task-1,170,180.00182900000001,True,10.998170999999985
Task-1_15,Task-1,183,187.00038,True,16.999619999999993
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.000632,True,16.999368000000004
Task-2_9,Task-2,191,207.001035,True,23.998965
Task-1_17,Task-1,209,213.000367,True,16.99963299999999
Task-2_10,Task-2,214,221.000461,True,32.999539
Task-3_8,Task-3,214.000461,230.000844,True,49.999156
Task-1_18,Task-1,222,234.00126,True,8.998739999999998
Task-1_19,Task-1,235,239.000343,True,16.999657000000013
Task-2_11,Task-2,237,246.000823,True,30.999177000000003
Task-3_9,Task-3,243,255.001194,True,53.998806
Task-1_20,Task-1,248,259.001746,True,9.998253999999974
Task-2_12,Task-2,260,267.00037,True,32.999630000000025
Task-1_21,Task-1,261,271.000901,True,10.999099000000001
Task-3_10,Task-3,272,281.0004,True,56.99959999999999
Task-1_22,Task-1,274,285.000957,True,9.999042999999972
Task-2_13,Task-2,283,292.00146700000005,True,30.998532999999952
Task-1_23,Task-1,287,296.0019750000001,True,11.998024999999927
Task-1_24,Task-1,300,304.000401,True,16.99959899999999
Task-3_11,Task-3,301,313,True,54
Task-1_25,Task-1,313,317.000545,True,16.99945500000001
Task-2_14,Task-2,306,324.001024,True,21.998976000000027
Task-1_26,Task-1,326,330,True,17
Task-2_15,Task-2,329,337.000449,True,31.999550999999997
Task-3_12,Task-3,330,346.00094,True,49.999059999999986
Task-1_27,Task-1,339,350.001397,True,9.998603000000003
Task-1_28,Task-1,352,356.00043,True,16.999570000000006
Task-2_16,Task-2,352.00043,363.00212799999997,True,28.99787200000003
Task-3_13,Task-3,359,372.00257899999997,True,52.99742100000003
Task-1_29,Task-1,365,376.00299499999994,True,9.997005000000058
Task-2_17,Task-2,375,383.00357499999996,True,31.996425000000045
Task-1_30,Task-1,378,387.00402799999995,True,11.995972000000052
Task-3_14,Task-3,388,397.000415,True,56.999585000000025
Task-1_31,Task-1,391,401.00080399999996,True,10.99919600000004
Task-2_18,Task-2,398,408.001222,True,29.998778000000016
Task-1_32,Task-1,404,412.001736,True,12.998264000000006
Task-1_33,Task-1,417,421,True,17
Task-2_19,Task-2,421,428.000469,True,32.99953099999999
Task-3_15,Task-3,417.000384,437.000823,True,45.999176999999975
Task-1_34,Task-1,430,441.00126500000005,True,9.998734999999954
Task-1_35,Task-1,443,447.000372,True,16.999627999999973
Task-2_20,Task-2,444,454.00084200000003,True,29.999157999999966
Task-3_16,Task-3,446,463.001346,True,48.99865399999999
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000367,True,32.99963300000002
Task-1_37,Task-1,469,478.000731,True,11.999269000000027
Task-3_17,Task-3,475,487.00111599999997,True,53.99888400000003
Task-1_38,Task-1,482,491.00148699999994,True,11.99851300000006
Task-2_22,Task-2,490,498.00188399999996,True,31.99811600000004
Task-1_39,Task-1,495,502.00224399999996,True,13.997756000000038
Task-3_18,Task-3,504,513,True,57
Task-1_40,Task-1,508,517.000509,True,11.999491000000035
Task-2_23,Task-2,513,524.000914,True,28.999086000000034
Task-1_41,Task-1,521,528.0012869999999,True,13.998713000000066
Task-3_19,Task-3,533,542.000365,True,56.99963500000001
Task-1_42,Task-1,534,546.000853,True,8.999146999999994
Task-2_24,Task-2,536,553.001344,True,22.998655999999983
Task-1_43,Task-1,547,557.001756,True,10.998244
Task-2_25,Task-2,559,566.000446,True,32.99955399999999
Task-1_44,Task-1,560,570.001016,True,10.99898399999995
Task-3_20,Task-3,562,579.001394,True,48.998605999999995
Task-1_45,Task-1,573,583.00183,True,10.99816999999996
Task-2_26,Task-2,582,590.002237,True,31.997762999999964
Task-1_46,Task-1,586,594.0026220000001,True,12.997377999999912
Task-3_21,Task-3,591,603.0031120000001,True,53.9968879999999
Task-1_47,Task-1,599,607.0036120000001,True,12.99638799999991
Task-2_27,Task-2,605,614.0040000000001,True,30.995999999999867
Task-1_48,Task-1,612,618.0043780000001,True,14.995621999999912
Task-3_22,Task-3,620,629.000513,True,56.999487000000045
Task-1_49,Task-1,625,633.000994,True,12.999006000000008
Task-2_28,Task-2,628,640.001384,True,27.99861599999997
Task-1_50,Task-1,638,644.001755,True,14.998244999999997
Task-3_23,Task-3,649,658.000532,True,56.99946799999998
Task-1_51,Task-1,651,662.00099,True,9.999009999999998
Task-2_29,Task-2,651,669.001433,True,21.99856699999998
Task-1_52,Task-1,664,673.001856,True,11.998144000000025
Task-2_30,Task-2,674,681.00053,True,32.999469999999974
Task-1_53,Task-1,677,685.001025,True,12.998974999999973
Task-3_24,Task-3,678,694.001392,True,49.99860799999999
Task-1_54,Task-1,690,698.001766,True,12.998234000000025
Task-2_31,Task-2,697,705.002252,True,31.997748
Task-1_55,Task-1,703,709.002651,True,14.997348999999986
Task-3_25,Task-3,707,718.00314,True,54.99685999999997
Task-1_56,Task-1,716,722.003505,True,14.996494999999982
Task-2_32,Task-2,720,729,True,31
Task-1_57,Task-1,729,733.000426,True,16.999574000000052
Task-3_26,Task-3,736,745.000391,True,56.999608999999964
Task-1_58,Task-1,742,749.000818,True,13.999182000000019
Task-2_33,Task-2,743,756.001227,True,26.99877300000003
Task-1_59,Task-1,755,760.001658,True,15.99834199999998
Task-3_27,Task-3,765,774.000484,True,56.99951599999997
Task-1_60,Task-1,768,778.000934,True,10.99906599999997
Task-2_34,Task-2,766,785.001345,True,20.998654999999985
Task-1_61,Task-1,781,789,True,13
Task-2_35,Task-2,789,796.000385,True,32.99961499999995
Task-1_62,Task-1,794,800.000857,True,14.999143000000004
Task-3_28,Task-3,794,809.001251,True,50.998748999999975
Task-1_63,Task-1,807,813.0017770000001,True,14.998222999999939
Task-2_36,Task-2,812,820,True,32
Task-1_64,Task-1,820,824.000514,True,16.999486000000047
Task-3_29,Task-3,823,833,True,56
Task-1_65,Task-1,833,837.000443,True,16.99955699999998
Task-2_37,Task-2,835,844.000975,True,30.99902499999996
Task-1_66,Task-1,846,850.000432,True,16.999567999999954
Task-3_30,Task-3,852,861.00045,True,56.99955
Task-1_67,Task-1,859,865.001552,True,14.998448000000053
Task-2_38,Task-2,858,872,True,26
Task-1_68,Task-1,872,876.000663,True,16.99933699999997
Task-2_39,Task-2,881,888.000534,True,32.999465999999984
Task-1_69,Task-1,885,892.001043,True,13.998957000000019
Task-3_31,Task-3,881.000534,901.00139,True,45.998609999999985
Task-1_70,Task-1,898,905.001847,True,13.998153000000002
Task-2_40,Task-2,904,912.002276,True,31.99772399999995
Task-1_71,Task-1,911,916.0027510000001,True,15.997248999999897
Task-3_32,Task-3,910,925.0031250000001,True,50.99687499999993
Task-1_72,Task-1,924,929.004121,True,15.995878999999945
Task-2_41,Task-2,927,936.0047330000001,True,30.9952669999999
Task-1_73,Task-1,937,941.000464,True,16.999536000000035
Task-3_33,Task-3,939,950,True,55
Task-1_74,Task-1,950,954.000409,True,16.99959100000001
Task-2_42,Task-2,950.000409,961.000812,True,28.999188000000004
Task-1_75,Task-1,963,967.000396,True,16.999603999999977
Task-3_34,Task-3,968,977.00054,True,56.99946
Task-1_76,Task-1,976,981.001115,True,15.998884999999973
Task-2_43,Task-2,973,988.001557,True,24.998442999999952
Task-1_77,Task-1,989,993.000404,True,16.999595999999997
Task-2_44,Task-2,996,1003.000537,True,32.99946299999999
Task-1_78,Task-1,1002,1007.001137,True,15.998863000000028
Task-3_35,Task-3,997,1016.00153,True,46.99847
Task-1_79,Task-1,1015,1020.001943,True,15.998057000000017
Task-2_45,Task-2,1019,1027.002441,True,31.99755899999991
Task-3_36,Task-3,1026,1036.002845,True,55.99715500000002
Task-1_80,Task-1,1028,1040.003261,True,8.996738999999934
Task-1_81,Task-1,1041,1045.000361,True,16.99963899999989
Task-2_46,Task-2,1042,1052.000735,True,29.999264999999923
Task-1_82,Task-1,1054,1058.000406,True,16.999593999999888
Task-3_37,Task-3,1055,1067,True,54
Task-1_83,Task-1,1067,1071.000639,True,16.999360999999908
Task-2_47,Task-2,1065,1078.00122,True,26.998779999999897
Task-1_84,Task-1,1080,1084,True,17
Task-3_38,Task-3,1084,1093,True,57
Task-1_85,Task-1,1093,1097.000533,True,16.999467000000095
Task-2_48,Task-2,1088,1104.001049,True,23.998951000000034
Task-1_86,Task-1,1106,1110.000376,True,16.99962400000004
