Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.004147,True,16.995853
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.000861,True,16.999139
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.000481,True,16.999519
Task-2_2,Task-2,30,38.001125,True,31.998874999999998
Task-1_4,Task-1,40,44.000496,True,16.999504
Task-3_2,Task-3,40.000496,53,True,53
Task-1_5,Task-1,53,57.00042,True,16.99958
Task-2_3,Task-2,53.00042,64.00093799999999,True,28.99906200000001
Task-1_6,Task-1,66,70.000426,True,16.999573999999996
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.000739,True,16.999261000000004
Task-2_4,Task-2,76,90.001217,True,25.998783000000003
Task-1_8,Task-1,92,96.000446,True,16.999554000000003
Task-3_4,Task-3,98,107.000417,True,56.999583
Task-1_9,Task-1,105,111.000936,True,14.999064000000004
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000402,True,32.99959799999999
Task-3_5,Task-3,127,138.000945,True,54.999055
Task-1_11,Task-1,131,142.001368,True,9.998631999999986
Task-1_12,Task-1,144,148.000574,True,16.999426
Task-2_7,Task-2,145,155.001101,True,29.998898999999994
Task-3_6,Task-3,156,165.000376,True,56.99962400000001
Task-1_13,Task-1,157,169.000891,True,8.999109000000004
Task-2_8,Task-2,168,176.001304,True,31.998695999999995
Task-1_14,Task-1,170,180.001719,True,10.998280999999992
Task-1_15,Task-1,183,187.000473,True,16.999527
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.000634,True,16.99936600000001
Task-2_9,Task-2,191,207.001149,True,23.998851000000002
Task-1_17,Task-1,209,213.000437,True,16.999562999999995
Task-2_10,Task-2,214,221.000354,True,32.99964600000001
Task-3_8,Task-3,214.000354,230.000814,True,49.99918600000001
Task-1_18,Task-1,222,234.001263,True,8.998737000000006
Task-1_19,Task-1,235,239.000503,True,16.99949699999999
Task-2_11,Task-2,237,246.000924,True,30.999076000000002
Task-3_9,Task-3,243,255.001343,True,53.99865700000001
Task-1_20,Task-1,248,259.001758,True,9.998242000000005
Task-2_12,Task-2,260,267.000551,True,32.99944900000003
Task-1_21,Task-1,261,271.000997,True,10.999003000000016
Task-3_10,Task-3,272,281.000428,True,56.999572
Task-1_22,Task-1,274,285.000785,True,9.999214999999992
Task-2_13,Task-2,283,292.001231,True,30.99876899999998
Task-1_23,Task-1,287,296.001639,True,11.998360999999989
Task-1_24,Task-1,300,304.000542,True,16.999458000000004
Task-3_11,Task-3,301,313,True,54
Task-1_25,Task-1,313,317.000529,True,16.999471000000028
Task-2_14,Task-2,306,324.00103299999995,True,21.99896700000005
Task-1_26,Task-1,326,330,True,17
Task-2_15,Task-2,329,337.000532,True,31.99946799999998
Task-3_12,Task-3,330,346.00090800000004,True,49.99909199999996
Task-1_27,Task-1,339,350.00130600000006,True,9.998693999999944
Task-1_28,Task-1,352,356.000503,True,16.99949700000002
Task-2_16,Task-2,352.000503,363.000881,True,28.999119000000007
Task-3_13,Task-3,359,372.001352,True,52.998648
Task-1_29,Task-1,365,376.001744,True,9.998256000000026
Task-2_17,Task-2,375,383.00224,True,31.997760000000028
Task-1_30,Task-1,378,387.00271599999996,True,11.997284000000036
Task-3_14,Task-3,388,397.000421,True,56.99957899999998
Task-1_31,Task-1,391,401.00087,True,10.99912999999998
Task-2_18,Task-2,398,408.001461,True,29.998538999999994
Task-1_32,Task-1,404,412.00192400000003,True,12.998075999999969
Task-1_33,Task-1,417,421,True,17
Task-2_19,Task-2,421,428.000449,True,32.999551
Task-3_15,Task-3,417.000425,437.000878,True,45.999122
Task-1_34,Task-1,430,441.001287,True,9.99871300000001
Task-1_35,Task-1,443,447.000521,True,16.999479000000008
Task-2_20,Task-2,444,454.00103,True,29.998969999999986
Task-3_16,Task-3,446,463.001441,True,48.998559
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000602,True,32.999397999999985
Task-1_37,Task-1,469,478.00106600000004,True,11.998933999999963
Task-3_17,Task-3,475,487.00143800000006,True,53.998561999999936
Task-1_38,Task-1,482,491.00189000000006,True,11.99810999999994
Task-2_22,Task-2,490,498.00228200000004,True,31.997717999999963
Task-1_39,Task-1,495,502.00268400000004,True,13.997315999999955
Task-3_18,Task-3,504,513,True,57
Task-1_40,Task-1,508,517.000631,True,11.999369000000002
Task-2_23,Task-2,513,524.001101,True,28.99889900000005
Task-1_41,Task-1,521,528.0014689999999,True,13.998531000000071
Task-3_19,Task-3,533,542.000352,True,56.99964799999998
Task-1_42,Task-1,534,546.000819,True,8.999181000000021
Task-2_24,Task-2,536,553.001189,True,22.998811000000046
Task-1_43,Task-1,547,557.0016529999999,True,10.99834700000008
Task-2_25,Task-2,559,566.00047,True,32.99953000000005
Task-1_44,Task-1,560,570.000993,True,10.999007000000006
Task-3_20,Task-3,562,579.001347,True,48.99865299999999
Task-1_45,Task-1,573,583.001723,True,10.99827700000003
Task-2_26,Task-2,582,590.002309,True,31.99769100000003
Task-1_46,Task-1,586,594.0026849999999,True,12.997315000000071
Task-3_21,Task-3,591,603.00312,True,53.99688000000003
Task-1_47,Task-1,599,607.003662,True,12.996338000000037
Task-2_27,Task-2,605,614.004073,True,30.99592700000005
Task-1_48,Task-1,612,618.004517,True,14.995483000000036
Task-3_22,Task-3,620,629.000384,True,56.999615999999946
Task-1_49,Task-1,625,633.00099,True,12.999009999999998
Task-2_28,Task-2,628,640.0015,True,27.998500000000035
Task-1_50,Task-1,638,644.001935,True,14.998064999999997
Task-3_23,Task-3,649,658.000405,True,56.999595
Task-1_51,Task-1,651,662.000854,True,9.999145999999996
Task-2_29,Task-2,651,669.00127,True,21.998730000000023
Task-1_52,Task-1,664,673.001679,True,11.998321000000033
Task-2_30,Task-2,674,681.000415,True,32.999585000000025
Task-1_53,Task-1,677,685.000911,True,12.999089000000026
Task-3_24,Task-3,678,694.0013,True,49.998699999999985
Task-1_54,Task-1,690,698.0017320000001,True,12.998267999999939
Task-2_31,Task-2,697,705.0021620000001,True,31.997837999999888
Task-1_55,Task-1,703,709.0025630000001,True,14.997436999999877
Task-3_25,Task-3,707,718.0030910000002,True,54.996908999999846
Task-1_56,Task-1,716,722.0034990000001,True,14.996500999999853
Task-2_32,Task-2,720,729,True,31
Task-1_57,Task-1,729,733.000404,True,16.999595999999997
Task-3_26,Task-3,736,745.000504,True,56.99949600000002
Task-1_58,Task-1,742,749.000993,True,13.999007000000006
Task-2_33,Task-2,743,756.001425,True,26.99857499999996
Task-1_59,Task-1,755,760.001826,True,15.998173999999949
Task-3_27,Task-3,765,774.000408,True,56.99959200000001
Task-1_60,Task-1,768,778.000922,True,10.999078000000054
Task-2_34,Task-2,766,785.001317,True,20.998683000000028
Task-1_61,Task-1,781,789,True,13
Task-2_35,Task-2,789,796.00044,True,32.999559999999974
Task-1_62,Task-1,794,800.001107,True,14.998892999999953
Task-3_28,Task-3,794,809.00148,True,50.998519999999985
Task-1_63,Task-1,807,813.001948,True,14.99805200000003
Task-2_36,Task-2,812,820,True,32
Task-1_64,Task-1,820,824.000503,True,16.99949700000002
Task-3_29,Task-3,823,833,True,56
Task-1_65,Task-1,833,837.00043,True,16.99956999999995
Task-2_37,Task-2,835,844.000935,True,30.999064999999973
Task-1_66,Task-1,846,850.000353,True,16.99964699999998
Task-3_30,Task-3,852,861.000486,True,56.99951399999998
Task-1_67,Task-1,859,865.0011480000001,True,14.998851999999943
Task-2_38,Task-2,858,872,True,26
Task-1_68,Task-1,872,876.000399,True,16.999600999999984
Task-2_39,Task-2,881,888.000482,True,32.999517999999966
Task-1_69,Task-1,885,892.001027,True,13.998972999999978
Task-3_31,Task-3,881.000482,901.0014590000001,True,45.99854099999993
Task-1_70,Task-1,898,905.0018610000001,True,13.998138999999924
Task-2_40,Task-2,904,912.0022490000001,True,31.99775099999988
Task-1_71,Task-1,911,916.0028940000001,True,15.997105999999917
Task-3_32,Task-3,910,925.0033730000001,True,50.996626999999876
Task-1_72,Task-1,924,929.0037350000001,True,15.99626499999988
Task-2_41,Task-2,927,936.0041420000001,True,30.995857999999885
Task-1_73,Task-1,937,941.00038,True,16.99962000000005
Task-3_33,Task-3,939,950,True,55
Task-1_74,Task-1,950,954.000418,True,16.999582000000032
Task-2_42,Task-2,950.000418,961.00099,True,28.99901
Task-1_75,Task-1,963,967.000427,True,16.999573000000055
Task-3_34,Task-3,968,977.000446,True,56.99955399999999
Task-1_76,Task-1,976,981.000944,True,15.999055999999996
Task-2_43,Task-2,973,988.001333,True,24.998666999999955
Task-1_77,Task-1,989,993.00057,True,16.99942999999996
Task-2_44,Task-2,996,1003.000472,True,32.999528000000055
Task-1_78,Task-1,1002,1007.0009419999999,True,15.999058000000105
Task-3_35,Task-3,997,1016.0013319999999,True,46.998668000000066
Task-1_79,Task-1,1015,1020.001762,True,15.998238000000015
Task-2_45,Task-2,1019,1027.002186,True,31.997814000000062
Task-3_36,Task-3,1026,1036.002688,True,55.997311999999965
Task-1_80,Task-1,1028,1040.0030490000001,True,8.996950999999854
Task-1_81,Task-1,1041,1045.000503,True,16.99949700000002
Task-2_46,Task-2,1042,1052.001017,True,29.998982999999953
Task-1_82,Task-1,1054,1058.00046,True,16.999540000000025
Task-3_37,Task-3,1055,1067,True,54
Task-1_83,Task-1,1067,1071.000541,True,16.999458999999888
Task-2_47,Task-2,1065,1078.000954,True,26.999045999999908
Task-1_84,Task-1,1080,1084,True,17
Task-3_38,Task-3,1084,1093,True,57
Task-1_85,Task-1,1093,1097.000458,True,16.99954200000002
Task-2_48,Task-2,1088,1104.00085,True,23.9991500000001
Task-1_86,Task-1,1106,1110.000405,True,16.999595
Task-2_49,Task-2,1111,1118.000396,True,32.99960400000009
Task-3_39,Task-3,1113,1127.000803,True,51.999197000000095
Task-1_87,Task-1,1119,1131.0011869999998,True,8.998813000000155
Task-1_88,Task-1,1132,1136.000389,True,16.99961099999996
Task-2_50,Task-2,1134,1143.00081,True,30.99919
Task-3_40,Task-3,1142,1152.001196,True,55.998804000000064
Task-1_89,Task-1,1145,1156.0016289999999,True,9.998371000000134
Task-2_51,Task-2,1157,1164.000383,True,32.999616999999944
Task-1_90,Task-1,1158,1168.0007540000001,True,10.999245999999857
Task-1_91,Task-1,1171,1175.000446,True,16.99955399999999
Task-3_41,Task-3,1171.000446,1184,True,53
Task-1_92,Task-1,1184,1188.000455,True,16.999544999999898
Task-2_52,Task-2,1180,1195.0008050000001,True,24.999194999999872
Task-1_93,Task-1,1197,1201.000493,True,16.999506999999994
Task-3_42,Task-3,1200,1210,True,56
Task-1_94,Task-1,1210,1214.00063,True,16.99937
Task-2_53,Task-2,1203,1221.001075,True,21.9989250000001
Task-1_95,Task-1,1223,1227.000481,True,16.999518999999964
