Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.011762,True,16.988238
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.00245,True,16.99755
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.00178,True,16.99822
Task-2_2,Task-2,30,38.003037,True,31.996963
Task-1_4,Task-1,40,44.000894,True,16.999105999999998
Task-3_2,Task-3,40.000894,53,True,53
Task-1_5,Task-1,53,57.001253,True,16.998747
Task-2_3,Task-2,53.001253,64.003015,True,28.996984999999995
Task-1_6,Task-1,66,70.001256,True,16.998744000000002
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.002704,True,16.997296000000006
Task-2_4,Task-2,76,90.003839,True,25.996161
Task-1_8,Task-1,92,96.000791,True,16.999208999999993
Task-3_4,Task-3,98,107.001286,True,56.99871400000001
Task-1_9,Task-1,105,111.01216299999999,True,14.987837000000013
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000643,True,32.999357
Task-3_5,Task-3,127,138.00143,True,54.99857
Task-1_11,Task-1,131,142.002145,True,9.997854999999987
Task-1_12,Task-1,144,148.000671,True,16.99932899999999
Task-2_7,Task-2,145,155.00165900000002,True,29.998340999999982
Task-3_6,Task-3,156,165.000739,True,56.99926099999999
Task-1_13,Task-1,157,169.001459,True,8.998540999999989
Task-2_8,Task-2,168,176.00215300000002,True,31.99784699999998
Task-1_14,Task-1,170,180.00287000000003,True,10.99712999999997
Task-1_15,Task-1,183,187.0011,True,16.998899999999992
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.001703,True,16.998297000000008
Task-2_9,Task-2,191,207.002478,True,23.997522000000004
Task-1_17,Task-1,209,213.000739,True,16.99926099999999
Task-2_10,Task-2,214,221.000669,True,32.99933100000001
Task-3_8,Task-3,214.000669,230.001469,True,49.998531000000014
Task-1_18,Task-1,222,234.00287799999998,True,8.997122000000019
Task-1_19,Task-1,235,239.00066,True,16.99933999999999
Task-2_11,Task-2,237,246.00130900000002,True,30.99869099999998
Task-3_9,Task-3,243,255.00209900000002,True,53.997900999999985
Task-1_20,Task-1,248,259.00295900000003,True,9.997040999999967
Task-2_12,Task-2,260,267.000593,True,32.99940700000002
Task-1_21,Task-1,261,271.001284,True,10.998716000000002
Task-3_10,Task-3,272,281.000862,True,56.999138000000016
Task-1_22,Task-1,274,285.001519,True,9.998481000000027
Task-2_13,Task-2,283,292.00215399999996,True,30.997846000000038
Task-1_23,Task-1,287,296.002823,True,11.997177000000022
Task-1_24,Task-1,300,304.000643,True,16.999356999999975
Task-3_11,Task-3,301,313,True,54
Task-1_25,Task-1,313,317.002013,True,16.997987000000023
Task-2_14,Task-2,306,324.002995,True,21.997005
Task-1_26,Task-1,326,330,True,17
Task-2_15,Task-2,329,337.00141,True,31.99858999999998
Task-3_12,Task-3,330,346.00223500000004,True,49.99776499999996
Task-1_27,Task-1,339,350.00306100000006,True,9.99693899999994
Task-1_28,Task-1,352,356.000718,True,16.999281999999994
Task-2_16,Task-2,352.000718,363.001565,True,28.998434999999972
Task-3_13,Task-3,359,372.002339,True,52.997660999999994
Task-1_29,Task-1,365,376.003041,True,9.996959000000004
Task-2_17,Task-2,375,383.003787,True,31.99621300000001
Task-1_30,Task-1,378,387.004458,True,11.995542
Task-3_14,Task-3,388,397.000922,True,56.999078
Task-1_31,Task-1,391,401.001703,True,10.99829699999998
Task-2_18,Task-2,398,408.002406,True,29.997593999999992
Task-1_32,Task-1,404,412.003154,True,12.996846000000005
Task-1_33,Task-1,417,421,True,17
Task-2_19,Task-2,421,428.001335,True,32.99866500000002
Task-3_15,Task-3,417.000625,437.002138,True,45.997862
Task-1_34,Task-1,430,441.002842,True,9.997158000000013
Task-1_35,Task-1,443,447.000791,True,16.999209000000008
Task-2_20,Task-2,444,454.002297,True,29.997703
Task-3_16,Task-3,446,463.00323,True,48.996770000000026
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000698,True,32.999302
Task-1_37,Task-1,469,478.001636,True,11.998363999999981
Task-3_17,Task-3,475,487.00237000000004,True,53.99762999999996
Task-1_38,Task-1,482,491.00319,True,11.996809999999982
Task-2_22,Task-2,490,498.004089,True,31.99591099999998
Task-1_39,Task-1,495,502.00491600000004,True,13.995083999999963
Task-3_18,Task-3,504,513,True,57
Task-1_40,Task-1,508,517.001094,True,11.998906000000034
Task-2_23,Task-2,513,524.00191,True,28.998090000000047
Task-1_41,Task-1,521,528.002703,True,13.997297000000003
Task-3_19,Task-3,533,542.000663,True,56.99933699999997
Task-1_42,Task-1,534,546.002004,True,8.997995999999944
Task-2_24,Task-2,536,553.002833,True,22.99716699999999
Task-1_43,Task-1,547,557.003574,True,10.996426000000042
Task-2_25,Task-2,559,566.000731,True,32.99926900000003
Task-1_44,Task-1,560,570.0017889999999,True,10.998211000000083
Task-3_20,Task-3,562,579.0024999999999,True,48.99750000000006
