Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.00786,True,16.99214
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.002128,True,16.997872
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.00071,True,16.99929
Task-2_2,Task-2,30,38.001496,True,31.998503999999997
Task-1_4,Task-1,40,44.000728,True,16.999271999999998
Task-3_2,Task-3,40.000728,53,True,53
Task-1_5,Task-1,53,57.000659,True,16.999341
Task-2_3,Task-2,53.000659,64.001256,True,28.998744000000002
Task-1_6,Task-1,66,70.000659,True,16.999341
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.001507,True,16.998492999999996
Task-2_4,Task-2,76,90.002227,True,25.997772999999995
Task-1_8,Task-1,92,96.000555,True,16.999444999999994
Task-3_4,Task-3,98,107.000636,True,56.999364
Task-1_9,Task-1,105,111.001931,True,14.998069000000001
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.00064700000001,True,32.999352999999985
Task-3_5,Task-3,127,138.00135200000003,True,54.998647999999974
Task-1_11,Task-1,131,142.00196900000003,True,9.998030999999969
Task-1_12,Task-1,144,148.000742,True,16.999257999999998
Task-2_7,Task-2,145,155.001337,True,29.998662999999993
Task-3_6,Task-3,156,165.000609,True,56.999391
Task-1_13,Task-1,157,169.001247,True,8.998752999999994
Task-2_8,Task-2,168,176.001847,True,31.998153000000002
Task-1_14,Task-1,170,180.002464,True,10.997535999999997
Task-1_15,Task-1,183,187.000549,True,16.999450999999993
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.000945,True,16.999055
Task-2_9,Task-2,191,207.001788,True,23.998211999999995
Task-1_17,Task-1,209,213.000626,True,16.99937399999999
Task-2_10,Task-2,214,221.000629,True,32.999371
Task-3_8,Task-3,214.000629,230.001363,True,49.998637
Task-1_18,Task-1,222,234.002102,True,8.997897999999992
Task-1_19,Task-1,235,239.000604,True,16.99939599999999
Task-2_11,Task-2,237,246.001314,True,30.998685999999992
