Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.013348,True,16.986652
Task-2_1,Task-2,7,14,True,33
Task-1_2,Task-1,14,18.002189,True,16.997811
Task-3_1,Task-3,11,27,True,50
Task-1_3,Task-1,27,31.000825,True,16.999175
Task-2_2,Task-2,30,38.001607,True,31.998393
Task-1_4,Task-1,40,44.000769,True,16.999231
Task-3_2,Task-3,40.000769,53,True,53
Task-1_5,Task-1,53,57.000722,True,16.999277999999997
Task-2_3,Task-2,53.000722,64.001432,True,28.998568000000006
Task-1_6,Task-1,66,70.0017,True,16.9983
Task-3_3,Task-3,69,79,True,56
Task-1_7,Task-1,79,83.00136,True,16.998639999999995
Task-2_4,Task-2,76,90.00203400000001,True,25.99796599999999
Task-1_8,Task-1,92,96.000641,True,16.999359
Task-3_4,Task-3,98,107.000607,True,56.999393
Task-1_9,Task-1,105,111.001778,True,14.998221999999998
Task-2_5,Task-2,99,118,True,21
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000654,True,32.999346
Task-3_5,Task-3,127,138.001325,True,54.99867499999999
Task-1_11,Task-1,131,142.002002,True,9.997997999999995
Task-1_12,Task-1,144,148.000543,True,16.999457000000007
Task-2_7,Task-2,145,155.001171,True,29.998829
Task-3_6,Task-3,156,165.00065,True,56.99934999999999
Task-1_13,Task-1,157,169.00132000000002,True,8.998679999999979
Task-2_8,Task-2,168,176.00192800000002,True,31.99807199999998
Task-1_14,Task-1,170,180.00260400000002,True,10.99739599999998
Task-1_15,Task-1,183,187.002552,True,16.99744799999999
Task-3_7,Task-3,185,196,True,55
Task-1_16,Task-1,196,200.00113,True,16.99887000000001
Task-2_9,Task-2,191,207.00190099999998,True,23.998099000000025
Task-1_17,Task-1,209,213.000556,True,16.99944400000001
Task-2_10,Task-2,214,221.000597,True,32.999403
Task-3_8,Task-3,214.000597,230.001346,True,49.99865399999999
Task-1_18,Task-1,222,234.002033,True,8.997966999999989
Task-1_19,Task-1,235,239.000584,True,16.999415999999997
Task-2_11,Task-2,237,246.00123200000002,True,30.998767999999984
Task-3_9,Task-3,243,255.00187000000003,True,53.998129999999975
Task-1_20,Task-1,248,259.002522,True,9.997478000000001
Task-2_12,Task-2,260,267.000614,True,32.999386000000015
Task-1_21,Task-1,261,271.00114299999996,True,10.998857000000044
Task-3_10,Task-3,272,281.00053,True,56.999469999999974
Task-1_22,Task-1,274,285.00104400000004,True,9.998955999999964
Task-2_13,Task-2,283,292.00162400000005,True,30.99837599999995
Task-1_23,Task-1,287,296.00218700000005,True,11.997812999999951
Task-1_24,Task-1,300,304.000536,True,16.99946399999999
Task-3_11,Task-3,301,313,True,54
Task-1_25,Task-1,313,317.002481,True,16.99751900000001
Task-2_14,Task-2,306,324.003448,True,21.99655200000001
Task-1_26,Task-1,326,330,True,17
Task-2_15,Task-2,329,337.001054,True,31.99894599999999
Task-3_12,Task-3,330,346.001749,True,49.99825099999998
Task-1_27,Task-1,339,350.002534,True,9.997465999999974
Task-1_28,Task-1,352,356.000631,True,16.999369
Task-2_16,Task-2,352.000631,363.001315,True,28.998685000000023
Task-3_13,Task-3,359,372.002026,True,52.997974
Task-1_29,Task-1,365,376.002679,True,9.997321
Task-2_17,Task-2,375,383.003354,True,31.996646
Task-1_30,Task-1,378,387.003992,True,11.996008000000018
Task-3_14,Task-3,388,397.000593,True,56.99940700000002
Task-1_31,Task-1,391,401.001182,True,10.998818000000028
Task-2_18,Task-2,398,408.00179299999996,True,29.998207000000036
Task-1_32,Task-1,404,412.002347,True,12.997653000000014
Task-1_33,Task-1,417,421,True,17
Task-2_19,Task-2,421,428.00107,True,32.99892999999997
Task-3_15,Task-3,417.000628,437.00162600000004,True,45.998373999999956
Task-1_34,Task-1,430,441.00218500000005,True,9.997814999999946
Task-1_35,Task-1,443,447.000521,True,16.999479000000008
Task-2_20,Task-2,444,454.001529,True,29.998470999999995
Task-3_16,Task-3,446,463.002161,True,48.997839
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000529,True,32.99947100000003
Task-1_37,Task-1,469,478.006832,True,11.993168000000026
Task-3_17,Task-3,475,487.007456,True,53.99254400000001
Task-1_38,Task-1,482,491.008132,True,11.99186800000001
Task-2_22,Task-2,490,498.008734,True,31.991265999999996
Task-1_39,Task-1,495,502.009634,True,13.990365999999995
Task-3_18,Task-3,504,513,True,57
Task-1_40,Task-1,508,517.001207,True,11.998792999999978
Task-2_23,Task-2,513,524.002005,True,28.997994999999946
Task-1_41,Task-1,521,528.0027640000001,True,13.99723599999993
Task-3_19,Task-3,533,542.000677,True,56.999323000000004
Task-1_42,Task-1,534,546.002042,True,8.99795800000004
Task-2_24,Task-2,536,553.002854,True,22.997146000000043
Task-1_43,Task-1,547,557.003432,True,10.996568000000025
Task-2_25,Task-2,559,566.000575,True,32.999424999999974
Task-1_44,Task-1,560,570.001512,True,10.998487999999952
Task-3_20,Task-3,562,579.002063,True,48.99793699999998
Task-1_45,Task-1,573,583.002598,True,10.997401999999965
Task-2_26,Task-2,582,590.003151,True,31.996848999999997
Task-1_46,Task-1,586,594.003681,True,12.996318999999971
Task-3_21,Task-3,591,603.004219,True,53.995780999999965
Task-1_47,Task-1,599,607.004811,True,12.995188999999982
Task-2_27,Task-2,605,614.005357,True,30.994642999999996
Task-1_48,Task-1,612,618.005955,True,14.994045000000028
Task-3_22,Task-3,620,629.000646,True,56.99935400000004
Task-1_49,Task-1,625,633.0016519999999,True,12.998348000000078
Task-2_28,Task-2,628,640.0023489999999,True,27.997651000000133
Task-1_50,Task-1,638,644.0029899999998,True,14.99701000000016
Task-3_23,Task-3,649,658.000639,True,56.99936100000002
Task-1_51,Task-1,651,662.001864,True,9.998136000000045
Task-2_29,Task-2,651,669.002522,True,21.997478
Task-1_52,Task-1,664,673.003216,True,11.996784000000048
Task-2_30,Task-2,674,681.000726,True,32.999274000000014
Task-1_53,Task-1,677,685.001793,True,12.99820699999998
Task-3_24,Task-3,678,694.002439,True,49.99756100000002
Task-1_54,Task-1,690,698.003106,True,12.996893999999998
Task-2_31,Task-2,697,705.003764,True,31.996235999999953
Task-1_55,Task-1,703,709.0044270000001,True,14.995572999999922
Task-3_25,Task-3,707,718.0051410000001,True,54.994858999999906
Task-1_56,Task-1,716,722.0058670000001,True,14.99413299999992
Task-2_32,Task-2,720,729,True,31
Task-1_57,Task-1,729,733.000568,True,16.999431999999956
Task-3_26,Task-3,736,745.000641,True,56.99935900000003
Task-1_58,Task-1,742,749.001769,True,13.998231000000033
Task-2_33,Task-2,743,756.0024129999999,True,26.997587000000067
Task-1_59,Task-1,755,760.0030499999999,True,15.996950000000083
Task-3_27,Task-3,765,774.000684,True,56.99931600000002
Task-1_60,Task-1,768,778.0022749999999,True,10.99772500000006
Task-2_34,Task-2,766,785.002979,True,20.997021000000018
Task-1_61,Task-1,781,789,True,13
Task-2_35,Task-2,789,796.000594,True,32.99940600000002
Task-1_62,Task-1,794,800.001676,True,14.998324000000025
Task-3_28,Task-3,794,809.0022819999999,True,50.99771800000008
Task-1_63,Task-1,807,813.0029089999999,True,14.997091000000069
Task-2_36,Task-2,812,820,True,32
Task-1_64,Task-1,820,824.000938,True,16.99906199999998
Task-3_29,Task-3,823,833,True,56
Task-1_65,Task-1,833,837.000612,True,16.999387999999954
Task-2_37,Task-2,835,844.0012240000001,True,30.998775999999907
Task-1_66,Task-1,846,850.00063,True,16.99937
Task-3_30,Task-3,852,861.000664,True,56.99933599999997
Task-1_67,Task-1,859,865.00197,True,14.998029999999972
Task-2_38,Task-2,858,872,True,26
Task-1_68,Task-1,872,876.017254,True,16.98274600000002
Task-2_39,Task-2,881,888.001703,True,32.99829699999998
Task-1_69,Task-1,885,892.00378,True,13.996219999999994
Task-3_31,Task-3,881.001703,901.004768,True,45.99523199999999
Task-1_70,Task-1,898,905.005472,True,13.994527999999946
Task-2_40,Task-2,904,912.0061890000001,True,31.993810999999937
Task-1_71,Task-1,911,916.007325,True,15.992674999999963
Task-3_32,Task-3,910,925.007976,True,50.992024000000015
Task-1_72,Task-1,924,929.008559,True,15.991441000000009
Task-2_41,Task-2,927,936.00922,True,30.990779999999972
Task-1_73,Task-1,937,941.000623,True,16.99937699999998
Task-3_33,Task-3,939,950,True,55
Task-1_74,Task-1,950,954.00063,True,16.99937
Task-2_42,Task-2,950.00063,961.001201,True,28.998798999999963
Task-1_75,Task-1,963,967.000557,True,16.999443000000042
Task-3_34,Task-3,968,977.000758,True,56.99924199999998
Task-1_76,Task-1,976,981.001763,True,15.998237000000017
Task-2_43,Task-2,973,988.002399,True,24.99760100000003
Task-1_77,Task-1,989,993.000616,True,16.999383999999964
Task-2_44,Task-2,996,1003.00062,True,32.999379999999974
Task-1_78,Task-1,1002,1007.0016360000001,True,15.998363999999924
Task-3_35,Task-3,997,1016.0022600000001,True,46.99773999999991
Task-1_79,Task-1,1015,1020.0028970000001,True,15.997102999999925
Task-2_45,Task-2,1019,1027.0035160000002,True,31.996483999999782
Task-3_36,Task-3,1026,1036.0041050000002,True,55.99589499999979
Task-1_80,Task-1,1028,1040.0047040000002,True,8.995295999999826
Task-1_81,Task-1,1041,1045.000647,True,16.999352999999928
Task-2_46,Task-2,1042,1052.001312,True,29.998687999999902
Task-1_82,Task-1,1054,1058.000633,True,16.999366999999893
Task-3_37,Task-3,1055,1067,True,54
Task-1_83,Task-1,1067,1071.001104,True,16.99889600000006
Task-2_47,Task-2,1065,1078.001875,True,26.998125000000073
Task-1_84,Task-1,1080,1084,True,17
Task-3_38,Task-3,1084,1093,True,57
Task-1_85,Task-1,1093,1097.000992,True,16.999008000000003
Task-2_48,Task-2,1088,1104.001656,True,23.99834400000009
Task-1_86,Task-1,1106,1110.000633,True,16.999366999999893
Task-2_49,Task-2,1111,1118.000663,True,32.99933699999997
Task-3_39,Task-3,1113,1127.001357,True,51.9986429999999
Task-1_87,Task-1,1119,1131.0021680000002,True,8.99783199999979
Task-1_88,Task-1,1132,1136.000629,True,16.99937100000011
Task-2_50,Task-2,1134,1143.001268,True,30.998732000000018
Task-3_40,Task-3,1142,1152.001937,True,55.998063
Task-1_89,Task-1,1145,1156.00253,True,9.997470000000021
Task-2_51,Task-2,1157,1164.000634,True,32.99936600000001
Task-1_90,Task-1,1158,1168.00127,True,10.998730000000023
Task-1_91,Task-1,1171,1175.000584,True,16.99941600000011
Task-3_41,Task-3,1171.000584,1184,True,53
Task-1_92,Task-1,1184,1188.001108,True,16.99889200000007
Task-2_52,Task-2,1180,1195.001709,True,24.99829100000011
Task-1_93,Task-1,1197,1201.000519,True,16.99948100000006
