Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.004214,True,16.995786
Task-2_1,Task-2,7,14,True,33
Task-3_1,Task-3,11,23.001635,True,53.998365
Task-1_2,Task-1,14,27,True,8
Task-1_3,Task-1,27,31.00091,True,16.99909
Task-2_2,Task-2,30,38.001569,True,31.998430999999997
Task-1_4,Task-1,40,44.000647,True,16.999353
Task-3_2,Task-3,40.000647,53,True,53
Task-1_5,Task-1,53,57.00056,True,16.99944
Task-2_3,Task-2,53.00056,64.001175,True,28.998824999999997
Task-1_6,Task-1,66,70.000685,True,16.999314999999996
Task-3_3,Task-3,69,79,True,56
Task-2_4,Task-2,76,86.000837,True,29.999162999999996
Task-1_7,Task-1,79,90.001427,True,9.998572999999993
Task-1_8,Task-1,92,96.000643,True,16.999357000000003
Task-3_4,Task-3,98,107.000536,True,56.999464
Task-2_5,Task-2,99,114.00129,True,24.998710000000003
Task-1_9,Task-1,105,118,True,8
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.00060000000002,True,32.99939999999998
Task-3_5,Task-3,127,138.001291,True,54.99870899999999
Task-1_11,Task-1,131,142.00201800000002,True,9.997981999999979
Task-1_12,Task-1,144,148.000584,True,16.999415999999997
Task-2_7,Task-2,145,155.001146,True,29.998853999999994
Task-3_6,Task-3,156,165.000613,True,56.99938700000001
Task-1_13,Task-1,157,169.00126899999998,True,8.99873100000002
Task-2_8,Task-2,168,176.00183099999998,True,31.99816900000002
Task-1_14,Task-1,170,180.002411,True,10.997589000000005
Task-1_15,Task-1,183,187.000582,True,16.99941799999999
Task-3_7,Task-3,185,196,True,55
Task-2_9,Task-2,191,203.000798,True,27.999201999999997
Task-1_16,Task-1,196,207.001399,True,9.998601000000008
Task-1_17,Task-1,209,213.000542,True,16.999458000000004
Task-2_10,Task-2,214,221.00054,True,32.99946
Task-3_8,Task-3,214.00054,230.001124,True,49.998875999999996
Task-1_18,Task-1,222,234.001711,True,8.998289
Task-1_19,Task-1,235,239.000523,True,16.999477000000013
Task-2_11,Task-2,237,246.00107699999998,True,30.99892300000002
Task-3_9,Task-3,243,255.00167899999997,True,53.99832100000003
Task-1_20,Task-1,248,259.00231499999995,True,9.997685000000047
Task-2_12,Task-2,260,267.000601,True,32.99939899999998
Task-1_21,Task-1,261,271.001192,True,10.998807999999997
Task-3_10,Task-3,272,281.000561,True,56.999438999999995
Task-1_22,Task-1,274,285.001175,True,9.99882500000001
Task-2_13,Task-2,283,292.001689,True,30.998311
Task-1_23,Task-1,287,296.00224,True,11.997760000000028
Task-1_24,Task-1,300,304.000555,True,16.99944499999998
Task-3_11,Task-3,301,313,True,54
Task-2_14,Task-2,306,320.002111,True,25.997888999999986
Task-1_25,Task-1,313,324.002723,True,9.997276999999997
Task-1_26,Task-1,326,330,True,17
Task-3_12,Task-3,330,339,True,57
Task-2_15,Task-2,329,346.000782,True,22.999217999999985
Task-1_27,Task-1,339,350.001375,True,9.998625000000004
Task-1_28,Task-1,352,356.000593,True,16.99940700000002
Task-2_16,Task-2,352.000593,363.00130099999996,True,28.998699000000045
Task-3_13,Task-3,359,372.00188399999996,True,52.99811600000004
Task-1_29,Task-1,365,376.00251299999996,True,9.997487000000035
Task-2_17,Task-2,375,383.00309,True,31.996910000000014
Task-1_30,Task-1,378,387.003697,True,11.996303000000012
Task-3_14,Task-3,388,397.000569,True,56.999431000000016
Task-1_31,Task-1,391,401.00111599999997,True,10.998884000000032
Task-2_18,Task-2,398,408.00168499999995,True,29.998315000000048
Task-1_32,Task-1,404,412.00227199999995,True,12.997728000000052
Task-1_33,Task-1,417,421,True,17
Task-3_15,Task-3,417.000533,430,True,53
Task-2_19,Task-2,421,437.000796,True,23.99920400000002
Task-1_34,Task-1,430,441.001405,True,9.998595000000023
Task-1_35,Task-1,443,447.000815,True,16.99918500000001
Task-3_16,Task-3,446,456,True,56
Task-2_20,Task-2,444,463.001218,True,20.998782000000006
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.00055,True,32.999450000000024
Task-1_37,Task-1,469,478.00118499999996,True,11.998815000000036
Task-3_17,Task-3,475,487.001762,True,53.998238000000015
Task-1_38,Task-1,482,491.002339,True,11.997660999999994
Task-2_22,Task-2,490,498.002882,True,31.997118
Task-1_39,Task-1,495,502.003434,True,13.996565999999973
Task-3_18,Task-3,504,513,True,57
Task-2_23,Task-2,513,520.00078,True,32.99922000000004
Task-1_40,Task-1,508,524.0013399999999,True,4.998660000000086
Task-1_41,Task-1,521,528.0084919999999,True,13.991508000000067
Task-3_19,Task-3,533,542.000556,True,56.99944400000004
Task-2_24,Task-2,536,549.001345,True,26.998654999999985
Task-1_42,Task-1,534,553.00208,True,1.997920000000022
Task-1_43,Task-1,547,557.002658,True,10.997342000000003
Task-2_25,Task-2,559,566.005962,True,32.994038000000046
Task-3_20,Task-3,562,575.0067839999999,True,52.993216000000075
Task-1_44,Task-1,560,579.0075109999999,True,1.9924890000000914
Task-1_45,Task-1,573,583.008126,True,10.991874000000053
Task-2_26,Task-2,582,590.008694,True,31.99130600000001
Task-1_46,Task-1,586,594.00924,True,12.990760000000023
Task-3_21,Task-3,591,603.009807,True,53.99019299999998
Task-1_47,Task-1,599,607.0104220000001,True,12.989577999999938
Task-2_27,Task-2,605,614.010976,True,30.989023999999972
Task-1_48,Task-1,612,618.011579,True,14.988421000000017
Task-3_22,Task-3,620,629.000585,True,56.999415
Task-2_28,Task-2,628,636.001378,True,31.998621999999955
Task-1_49,Task-1,625,640.0019470000001,True,5.9980529999999135
Task-1_50,Task-1,638,644.002821,True,14.99717899999996
Task-3_23,Task-3,649,658.000534,True,56.999465999999984
Task-2_29,Task-2,651,665.001268,True,25.998732000000018
Task-1_51,Task-1,651,669.001995,True,2.9980050000000347
Task-1_52,Task-1,664,673.002536,True,11.997464000000036
Task-2_30,Task-2,674,681.000556,True,32.99944400000004
Task-3_24,Task-3,678,690,True,54
Task-1_53,Task-1,677,694.000699,True,3.999300999999946
Task-1_54,Task-1,690,698.001348,True,12.998651999999993
Task-2_31,Task-2,697,705.001984,True,31.998016000000007
Task-1_55,Task-1,703,709.002522,True,14.997478000000001
Task-3_25,Task-3,707,718.003083,True,54.99691700000005
Task-1_56,Task-1,716,722.0036279999999,True,14.996372000000065
