Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.018874,True,16.981126
Task-2_1,Task-2,7,14,True,33
Task-3_1,Task-3,11,23.007589,True,53.992411000000004
Task-1_2,Task-1,14,27,True,8
Task-1_3,Task-1,27,31.002441,True,16.997559
Task-2_2,Task-2,30,38.094820999999996,True,31.905179000000004
Task-1_4,Task-1,40,44.004731,True,16.995269
Task-3_2,Task-3,40.004731,53,True,53
Task-1_5,Task-1,53,57.001718,True,16.998282000000003
Task-2_3,Task-2,53.001718,64.00298,True,28.997020000000006
Task-1_6,Task-1,66,70.001016,True,16.998983999999993
Task-3_3,Task-3,69,79,True,56
Task-2_4,Task-2,76,86.003458,True,29.996542000000005
Task-1_7,Task-1,79,90.004758,True,9.995242000000005
Task-1_8,Task-1,92,96.001623,True,16.998377000000005
Task-3_4,Task-3,98,107.000931,True,56.999069000000006
Task-2_5,Task-2,99,114.002674,True,24.997326
Task-1_9,Task-1,105,118,True,8
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.001263,True,32.998737000000006
Task-3_5,Task-3,127,138.00289,True,54.99710999999999
Task-1_11,Task-1,131,142.014669,True,9.985331000000002
Task-1_12,Task-1,144,148.00088,True,16.999120000000005
Task-2_7,Task-2,145,155.001454,True,29.998546000000005
Task-3_6,Task-3,156,165.000548,True,56.99945199999999
Task-1_13,Task-1,157,169.00116300000002,True,8.99883699999998
Task-2_8,Task-2,168,176.001763,True,31.99823699999999
Task-1_14,Task-1,170,180.002374,True,10.997625999999997
Task-1_15,Task-1,183,187.000533,True,16.99946700000001
Task-3_7,Task-3,185,196,True,55
Task-2_9,Task-2,191,203.000957,True,27.999043
Task-1_16,Task-1,196,207.00152,True,9.99848
Task-1_17,Task-1,209,213.000571,True,16.999428999999992
Task-2_10,Task-2,214,221.001231,True,32.99876900000001
Task-3_8,Task-3,214.001231,230.001783,True,49.99821700000001
Task-1_18,Task-1,222,234.00240399999998,True,8.997596000000016
Task-1_19,Task-1,235,239.000586,True,16.999414
Task-2_11,Task-2,237,246.005104,True,30.99489600000001
Task-3_9,Task-3,243,255.005756,True,53.99424400000001
Task-1_20,Task-1,248,259.006376,True,9.993624000000011
Task-2_12,Task-2,260,267.000567,True,32.99943300000001
Task-1_21,Task-1,261,271.00115,True,10.998850000000004
