Job Name,Task Name,Release Time,Completion Time,Met Deadline,Slack
Task-1_1,Task-1,1,5.035136,True,16.964864
Task-2_1,Task-2,7,14,True,33
Task-3_1,Task-3,11,23.001997,True,53.998003
Task-1_2,Task-1,14,27,True,8
Task-1_3,Task-1,27,31.000954,True,16.999046
Task-2_2,Task-2,30,38.0015,True,31.9985
Task-1_4,Task-1,40,44.001517,True,16.998483
Task-3_2,Task-3,40.001517,53,True,53
Task-1_5,Task-1,53,57.000636,True,16.999364
Task-2_3,Task-2,53.000636,64.001193,True,28.998807
Task-1_6,Task-1,66,70.000606,True,16.999393999999995
Task-3_3,Task-3,69,79,True,56
Task-2_4,Task-2,76,86.000746,True,29.999253999999993
Task-1_7,Task-1,79,90.00132300000001,True,9.998676999999986
Task-1_8,Task-1,92,96.00125,True,16.99875
Task-3_4,Task-3,98,107.001809,True,56.998191000000006
Task-2_5,Task-2,99,114.002478,True,24.997522000000004
Task-1_9,Task-1,105,118,True,8
Task-1_10,Task-1,118,122,True,17
Task-2_6,Task-2,122,129.000769,True,32.99923100000001
Task-3_5,Task-3,127,138.001518,True,54.998481999999996
Task-1_11,Task-1,131,142.002072,True,9.997928000000002
Task-1_12,Task-1,144,148.000547,True,16.99945299999999
Task-2_7,Task-2,145,155.00118,True,29.998819999999995
Task-3_6,Task-3,156,165.000475,True,56.999525000000006
Task-1_13,Task-1,157,169.000995,True,8.999005000000011
Task-2_8,Task-2,168,176.00148099999998,True,31.998519000000016
Task-1_14,Task-1,170,180.00200299999997,True,10.997997000000026
Task-1_15,Task-1,183,187.000507,True,16.999493
Task-3_7,Task-3,185,196,True,55
Task-2_9,Task-2,191,203.000653,True,27.999347
Task-1_16,Task-1,196,207.001257,True,9.99874299999999
Task-1_17,Task-1,209,213.00053,True,16.999470000000002
Task-2_10,Task-2,214,221.000577,True,32.99942300000001
Task-3_8,Task-3,214.000577,230.003186,True,49.996814
Task-1_18,Task-1,222,234.003775,True,8.99622500000001
Task-1_19,Task-1,235,239.000517,True,16.999482999999998
Task-2_11,Task-2,237,246.001081,True,30.998919
Task-3_9,Task-3,243,255.001752,True,53.99824799999999
Task-1_20,Task-1,248,259.00232200000005,True,9.99767799999995
Task-2_12,Task-2,260,267.000632,True,32.999368000000004
Task-1_21,Task-1,261,271.001172,True,10.998828000000003
Task-3_10,Task-3,272,281.000551,True,56.99944900000003
Task-1_22,Task-1,274,285.001149,True,9.998851000000002
Task-2_13,Task-2,283,292.00164,True,30.99835999999999
Task-1_23,Task-1,287,296.00212500000004,True,11.997874999999965
Task-1_24,Task-1,300,304.000476,True,16.999524000000008
Task-3_11,Task-3,301,313,True,54
Task-2_14,Task-2,306,320.000838,True,25.999162000000013
Task-1_25,Task-1,313,324.001421,True,9.998579000000007
Task-1_26,Task-1,326,330,True,17
Task-3_12,Task-3,330,339,True,57
Task-2_15,Task-2,329,346.000717,True,22.99928299999999
Task-1_27,Task-1,339,350.00126900000004,True,9.998730999999964
Task-1_28,Task-1,352,356.000586,True,16.999414
Task-2_16,Task-2,352.000586,363.00111499999997,True,28.99888500000003
Task-3_13,Task-3,359,372.001677,True,52.99832300000003
Task-1_29,Task-1,365,376.00224899999995,True,9.99775100000005
Task-2_17,Task-2,375,383.00278199999997,True,31.997218000000032
Task-1_30,Task-1,378,387.00341099999997,True,11.996589000000029
Task-3_14,Task-3,388,397.00054,True,56.99946
Task-1_31,Task-1,391,401.001054,True,10.99894599999999
Task-2_18,Task-2,398,408.003653,True,29.996347000000014
Task-1_32,Task-1,404,412.004387,True,12.995612999999992
Task-1_33,Task-1,417,421,True,17
Task-3_15,Task-3,417.000631,430,True,53
Task-2_19,Task-2,421,437.000665,True,23.999334999999974
Task-1_34,Task-1,430,441.00126,True,9.998739999999998
Task-1_35,Task-1,443,447.000491,True,16.99950899999999
Task-3_16,Task-3,446,456,True,56
Task-2_20,Task-2,444,463.00073,True,20.999270000000024
Task-1_36,Task-1,456,467,True,10
Task-2_21,Task-2,467,474.000614,True,32.999386000000015
Task-1_37,Task-1,469,478.00125299999996,True,11.998747000000037
Task-3_17,Task-3,475,487.00184699999994,True,53.99815300000006
Task-1_38,Task-1,482,491.00245899999993,True,11.99754100000007
Task-2_22,Task-2,490,498.0030079999999,True,31.99699200000009
Task-1_39,Task-1,495,502.0035539999999,True,13.996446000000105
Task-3_18,Task-3,504,513,True,57
Task-2_23,Task-2,513,520.000761,True,32.99923899999999
Task-1_40,Task-1,508,524.001481,True,4.9985189999999875
Task-1_41,Task-1,521,528.002253,True,13.997747000000004
Task-3_19,Task-3,533,542.000585,True,56.999415
Task-2_24,Task-2,536,549.001386,True,26.998613999999975
Task-1_42,Task-1,534,553.00325,True,1.99675000000002
Task-1_43,Task-1,547,557.003768,True,10.996231999999964
Task-2_25,Task-2,559,566.000596,True,32.99940400000003
Task-3_20,Task-3,562,575.001363,True,52.99863700000003
Task-1_44,Task-1,560,579.002123,True,1.9978770000000168
Task-1_45,Task-1,573,583.002723,True,10.997277000000054
